time,v(1),i(V1),v(X0.q)
1.4628000e-02,1.8356217e-01,-1.2334658e-06,1.8268683e-08
1.4728000e-02,1.8481347e-01,-1.2331498e-06,1.8392014e-08
1.4828000e-02,1.8606469e-01,-1.2328339e-06,1.8515313e-08
1.4928000e-02,1.8731584e-01,-1.2325138e-06,1.8638580e-08
1.5028000e-02,1.8856692e-01,-1.2321938e-06,1.8761816e-08
1.5128000e-02,1.8981792e-01,-1.2318695e-06,1.8885019e-08
1.5228000e-02,1.9106885e-01,-1.2315455e-06,1.9008190e-08
1.5328000e-02,1.9231970e-01,-1.2312170e-06,1.9131328e-08
1.5428000e-02,1.9357048e-01,-1.2308889e-06,1.9254433e-08
1.5528000e-02,1.9482118e-01,-1.2305563e-06,1.9377505e-08
1.5628000e-02,1.9607180e-01,-1.2302241e-06,1.9500544e-08
1.5728000e-02,1.9732234e-01,-1.2298874e-06,1.9623550e-08
1.5828000e-02,1.9857281e-01,-1.2295511e-06,1.9746522e-08
1.5928000e-02,1.9982320e-01,-1.2292104e-06,1.9869460e-08
1.6028000e-02,2.0107351e-01,-1.2288699e-06,1.9992364e-08
1.6128000e-02,2.0232374e-01,-1.2285251e-06,2.0115234e-08
1.6228000e-02,2.0357389e-01,-1.2281806e-06,2.0238069e-08
1.6328000e-02,2.0482396e-01,-1.2278317e-06,2.0360870e-08
1.6428000e-02,2.0607395e-01,-1.2274831e-06,2.0483635e-08
1.6528000e-02,2.0732386e-01,-1.2271301e-06,2.0606366e-08
1.6628000e-02,2.0857368e-01,-1.2267774e-06,2.0729061e-08
1.6728000e-02,2.0982343e-01,-1.2264204e-06,2.0851721e-08
1.6828000e-02,2.1107309e-01,-1.2260637e-06,2.0974345e-08
1.6928000e-02,2.1232266e-01,-1.2257026e-06,2.1096934e-08
1.7028000e-02,2.1357216e-01,-1.2253418e-06,2.1219486e-08
1.7128000e-02,2.1482157e-01,-1.2249767e-06,2.1342002e-08
1.7228000e-02,2.1607089e-01,-1.2246118e-06,2.1464481e-08
1.7328000e-02,2.1732013e-01,-1.2242426e-06,2.1586924e-08
1.7428000e-02,2.1856929e-01,-1.2238738e-06,2.1709330e-08
1.7528000e-02,2.1981835e-01,-1.2235006e-06,2.1831699e-08
1.7628000e-02,2.2106733e-01,-1.2231277e-06,2.1954030e-08
1.7728000e-02,2.2231623e-01,-1.2227504e-06,2.2076324e-08
1.7828000e-02,2.2356503e-01,-1.2223735e-06,2.2198580e-08
1.7928000e-02,2.2481375e-01,-1.2219922e-06,2.2320798e-08
1.8028000e-02,2.2606238e-01,-1.2216113e-06,2.2442979e-08
1.8128000e-02,2.2731092e-01,-1.2212260e-06,2.2565120e-08
1.8228000e-02,2.2855937e-01,-1.2208411e-06,2.2687224e-08
1.8328000e-02,2.2980772e-01,-1.2204518e-06,2.2809288e-08
1.8428000e-02,2.3105599e-01,-1.2200628e-06,2.2931314e-08
1.8528000e-02,2.3230417e-01,-1.2196696e-06,2.3053301e-08
1.8628000e-02,2.3355226e-01,-1.2192766e-06,2.3175248e-08
1.8728000e-02,2.3480025e-01,-1.2188794e-06,2.3297156e-08
1.8828000e-02,2.3604815e-01,-1.2184824e-06,2.3419024e-08
1.8928000e-02,2.3729596e-01,-1.2180812e-06,2.3540852e-08
1.9028000e-02,2.3854367e-01,-1.2176803e-06,2.3662640e-08
1.9128000e-02,2.3979129e-01,-1.2172751e-06,2.3784388e-08
1.9228000e-02,2.4103882e-01,-1.2168702e-06,2.3906095e-08
1.9328000e-02,2.4228624e-01,-1.2164610e-06,2.4027762e-08
1.9428000e-02,2.4353358e-01,-1.2160522e-06,2.4149387e-08
1.9528000e-02,2.4478082e-01,-1.2156391e-06,2.4270972e-08
1.9628000e-02,2.4602796e-01,-1.2152263e-06,2.4392515e-08
1.9728000e-02,2.4727500e-01,-1.2148092e-06,2.4514017e-08
1.9828000e-02,2.4852195e-01,-1.2143925e-06,2.4635477e-08
1.9928000e-02,2.4976880e-01,-1.2139715e-06,2.4756895e-08
