time,v(i1),v(X0.Q),v(X0.x)
1.0351550e-05,-1.6532746e-01,-1.6535526e-11,1.0001682e-10
1.0361550e-05,-1.7001031e-01,-1.7003891e-11,1.0001682e-10
1.0371550e-05,-1.7469149e-01,-1.7472087e-11,1.0001682e-10
1.0381550e-05,-1.7937094e-01,-1.7940111e-11,1.0001682e-10
1.0391550e-05,-1.8404862e-01,-1.8407958e-11,1.0001682e-10
1.0401550e-05,-1.8872449e-01,-1.8875623e-11,1.0001682e-10
1.0411550e-05,-1.9339849e-01,-1.9343102e-11,1.0001682e-10
1.0421550e-05,-1.9807059e-01,-1.9810390e-11,1.0001682e-10
1.0431550e-05,-2.0274073e-01,-2.0277483e-11,1.0001682e-10
1.0441550e-05,-2.0740886e-01,-2.0744375e-11,1.0001682e-10
1.0451550e-05,-2.1207496e-01,-2.1211063e-11,1.0001682e-10
1.0461550e-05,-2.1673895e-01,-2.1677541e-11,1.0001682e-10
1.0471550e-05,-2.2140081e-01,-2.2143805e-11,1.0001682e-10
1.0481550e-05,-2.2606049e-01,-2.2609851e-11,1.0001682e-10
1.0491550e-05,-2.3071793e-01,-2.3075674e-11,1.0001682e-10
1.0501550e-05,-2.3537310e-01,-2.3541269e-11,1.0001682e-10
1.0511550e-05,-2.4002594e-01,-2.4006631e-11,1.0001682e-10
1.0521550e-05,-2.4467641e-01,-2.4471757e-11,1.0001682e-10
1.0531550e-05,-2.4932447e-01,-2.4936641e-11,1.0001682e-10
1.0541550e-05,-2.5397007e-01,-2.5401279e-11,1.0001682e-10
1.0551550e-05,-2.5861316e-01,-2.5865666e-11,1.0001682e-10
1.0561550e-05,-2.6325370e-01,-2.6329798e-11,1.0001682e-10
1.0571550e-05,-2.6789164e-01,-2.6793670e-11,1.0001682e-10
1.0581550e-05,-2.7252694e-01,-2.7257278e-11,1.0001682e-10
1.0591550e-05,-2.7715955e-01,-2.7720617e-11,1.0001682e-10
1.0601550e-05,-2.8178942e-01,-2.8183682e-11,1.0001682e-10
1.0611550e-05,-2.8641651e-01,-2.8646469e-11,1.0001682e-10
1.0621550e-05,-2.9104078e-01,-2.9108973e-11,1.0001682e-10
1.0631550e-05,-2.9566217e-01,-2.9571190e-11,1.0001682e-10
1.0641550e-05,-3.0028064e-01,-3.0033115e-11,1.0001682e-10
1.0651550e-05,-3.0489615e-01,-3.0494744e-11,1.0001682e-10
1.0661550e-05,-3.0950865e-01,-3.0956071e-11,1.0001682e-10
1.0671550e-05,-3.1411810e-01,-3.1417093e-11,1.0001682e-10
1.0681550e-05,-3.1872444e-01,-3.1877805e-11,1.0001682e-10
1.0691550e-05,-3.2332764e-01,-3.2338203e-11,1.0001682e-10
1.0701550e-05,-3.2792765e-01,-3.2798281e-11,1.0001682e-10
1.0711550e-05,-3.3252443e-01,-3.3258036e-11,1.0001682e-10
1.0721550e-05,-3.3711792e-01,-3.3717462e-11,1.0001682e-10
1.0731550e-05,-3.4170808e-01,-3.4176556e-11,1.0001682e-10
1.0741550e-05,-3.4629487e-01,-3.4635312e-11,1.0001682e-10
1.0751550e-05,-3.5087824e-01,-3.5093726e-11,1.0001682e-10
1.0761550e-05,-3.5545815e-01,-3.5551794e-11,1.0001682e-10
1.0771550e-05,-3.6003455e-01,-3.6009511e-11,1.0001682e-10
1.0781550e-05,-3.6460740e-01,-3.6466873e-11,1.0001682e-10
1.0791550e-05,-3.6917665e-01,-3.6923875e-11,1.0001682e-10
1.0801550e-05,-3.7374226e-01,-3.7380512e-11,1.0001682e-10
1.0811550e-05,-3.7830418e-01,-3.7836781e-11,1.0001682e-10
1.0821550e-05,-3.8286236e-01,-3.8292676e-11,1.0001682e-10
1.0831550e-05,-3.8741677e-01,-3.8748193e-11,1.0001682e-10
1.0841550e-05,-3.9196735e-01,-3.9203328e-11,1.0001682e-10
1.0851550e-05,-3.9651406e-01,-3.9658076e-11,1.0001682e-10
1.0861550e-05,-4.0105686e-01,-4.0112432e-11,1.0001682e-10
1.0871550e-05,-4.0559570e-01,-4.0566392e-11,1.0001682e-10
1.0881550e-05,-4.1013054e-01,-4.1019952e-11,1.0001682e-10
1.0891550e-05,-4.1466133e-01,-4.1473108e-11,1.0001682e-10
1.0901550e-05,-4.1918803e-01,-4.1925854e-11,1.0001682e-10
1.0911550e-05,-4.2371059e-01,-4.2378186e-11,1.0001682e-10
1.0921550e-05,-4.2822897e-01,-4.2830100e-11,1.0001682e-10
1.0931550e-05,-4.3274312e-01,-4.3281591e-11,1.0001682e-10
1.0941550e-05,-4.3725300e-01,-4.3732655e-11,1.0001682e-10
1.0951550e-05,-4.4175857e-01,-4.4183287e-11,1.0001682e-10
1.0961550e-05,-4.4625977e-01,-4.4633483e-11,1.0001682e-10
1.0971550e-05,-4.5075657e-01,-4.5083239e-11,1.0001682e-10
1.0981550e-05,-4.5524893e-01,-4.5532550e-11,1.0001682e-10
1.0991550e-05,-4.5973679e-01,-4.5981411e-11,1.0001682e-10
1.1001550e-05,-4.6422011e-01,-4.6429819e-11,1.0001682e-10
1.1011550e-05,-4.6869885e-01,-4.6877768e-11,1.0001682e-10
1.1021550e-05,-4.7317296e-01,-4.7325255e-11,1.0001682e-10
1.1031550e-05,-4.7764241e-01,-4.7772275e-11,1.0001682e-10
1.1041550e-05,-4.8210714e-01,-4.8218823e-11,1.0001682e-10
1.1051550e-05,-4.8656711e-01,-4.8664895e-11,1.0001682e-10
1.1061550e-05,-4.9102228e-01,-4.9110487e-11,1.0001682e-10
1.1071550e-05,-4.9547260e-01,-4.9555594e-11,1.0001682e-10
1.1081550e-05,-4.9991804e-01,-5.0000212e-11,1.0001682e-10
1.1091550e-05,-5.0435854e-01,-5.0444337e-11,1.0001682e-10
1.1101550e-05,-5.0879406e-01,-5.0887964e-11,1.0001682e-10
1.1111550e-05,-5.1322456e-01,-5.1331088e-11,1.0001682e-10
1.1121550e-05,-5.1764999e-01,-5.1773706e-11,1.0001682e-10
1.1131550e-05,-5.2207032e-01,-5.2215813e-11,1.0001682e-10
1.1141550e-05,-5.2648549e-01,-5.2657405e-11,1.0001682e-10
1.1151550e-05,-5.3089547e-01,-5.3098477e-11,1.0001682e-10
1.1161550e-05,-5.3530021e-01,-5.3539025e-11,1.0001682e-10
1.1171550e-05,-5.3969966e-01,-5.3979044e-11,1.0001682e-10
1.1181550e-05,-5.4409379e-01,-5.4418531e-11,1.0001682e-10
1.1191550e-05,-5.4848255e-01,-5.4857480e-11,1.0001682e-10
1.1201550e-05,-5.5286589e-01,-5.5295888e-11,1.0001682e-10
1.1211550e-05,-5.5724378e-01,-5.5733751e-11,1.0001682e-10
1.1221550e-05,-5.6161617e-01,-5.6171063e-11,1.0001682e-10
1.1231550e-05,-5.6598301e-01,-5.6607821e-11,1.0001682e-10
1.1241550e-05,-5.7034427e-01,-5.7044020e-11,1.0001682e-10
1.1251550e-05,-5.7469990e-01,-5.7479657e-11,1.0001682e-10
1.1261550e-05,-5.7904986e-01,-5.7914726e-11,1.0001682e-10
1.1271550e-05,-5.8339410e-01,-5.8349223e-11,1.0001682e-10
1.1281550e-05,-5.8773259e-01,-5.8783144e-11,1.0001682e-10
1.1291550e-05,-5.9206527e-01,-5.9216486e-11,1.0001682e-10
1.1301550e-05,-5.9639211e-01,-5.9649243e-11,1.0001682e-10
1.1311550e-05,-6.0071307e-01,-6.0081411e-11,1.0001682e-10
1.1321550e-05,-6.0502809e-01,-6.0512986e-11,1.0001682e-10
1.1331550e-05,-6.0933715e-01,-6.0943964e-11,1.0001682e-10
1.1341550e-05,-6.1364019e-01,-6.1374340e-11,1.0001682e-10
1.1351550e-05,-6.1793717e-01,-6.1804111e-11,1.0001682e-10
1.1361550e-05,-6.2222806e-01,-6.2233272e-11,1.0001682e-10
1.1371550e-05,-6.2651280e-01,-6.2661818e-11,1.0001682e-10
1.1381550e-05,-6.3079136e-01,-6.3089746e-11,1.0001682e-10
1.1391550e-05,-6.3506370e-01,-6.3517052e-11,1.0001682e-10
1.1401550e-05,-6.3932977e-01,-6.3943730e-11,1.0001682e-10
1.1411550e-05,-6.4358952e-01,-6.4369778e-11,1.0001682e-10
1.1421550e-05,-6.4784293e-01,-6.4795190e-11,1.0001682e-10
1.1431550e-05,-6.5208994e-01,-6.5219962e-11,1.0001682e-10
